target,initiator,asset,amount,premium,referralCode,blockNumber,txHash
0x135896DE8421be2ec868E0b811006171D9df802A,0x23b4483b7C551EfA8955c7e35f8A5e38C6f1fE4A,0x6B175474E89094C44Da98b954EedeAC495271d0F,86990058844383340000000,78291052959945006000,0,14192510,0x7d6d306be64254447e4421236d830adbc7e6a17da355616bbd03700ea60e4d61
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xAd5c010b95448B614dAA9E6efE89A9817409694d,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,49856474263,44870826,0,14192540,0x94ea21df40767301eb3aa973b87547086aeab5242d00d568f41fbd8c4e898873
0xbcC4371cc40592794bF5b727C17cf7DE37Ac180A,0xD5Dc8f80e2DC5E98DB464c0555320AA9237C24b4,0x4Fabb145d64652a948d72533023f6E7A623C7C53,3064621819045435600000,2758159637140892040,0,14192576,0x9e54db753c1f170d0f4e129b94d82123c4338245047478af0ff49b0f530961e3
0xbcC4371cc40592794bF5b727C17cf7DE37Ac180A,0xD5Dc8f80e2DC5E98DB464c0555320AA9237C24b4,0xdAC17F958D2ee523a2206206994597C13D831ec7,2424629119,2182166,0,14192576,0x9e54db753c1f170d0f4e129b94d82123c4338245047478af0ff49b0f530961e3
0x135896DE8421be2ec868E0b811006171D9df802A,0x18bfE375E16D877918B748a38437065972b76DdF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,26000000000000000000,23400000000000000,0,14192610,0xe2ce77222223c3ce36fd9427e2818526a67ac85c332a7fe3f07cd82bdfb02075
0x135896DE8421be2ec868E0b811006171D9df802A,0x1Bd967D0BfddC2B5752336bf391BE1030087FFd3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,52576721991,47319049,0,14192931,0x8318ecdb1cfa646ddd17b00feb50eeea8b40d92e5e7e84b64fdbcaf01dd0d475
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xEFEA7656B79d8f5cdd4eFE28ddF71855d9C7F447,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,67165275081805090000,60448747573624581,0,14193057,0xef846027c832dadad25488e9dc4cddda4e27167b38e8f82e7eba8f2cf92b9fa3
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xD8C22132684460E9d4cBE5d4d53ed79DB2eE936C,0x514910771AF9Ca656af840dff83E8264EcF986CA,4006506405348151500000,3605855764813336350,0,14193517,0xe68608f135e1c165a85cf7f47c6e5b3179820766b0301f39c924760fc388ace0
0x135896DE8421be2ec868E0b811006171D9df802A,0x1Bd967D0BfddC2B5752336bf391BE1030087FFd3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,17695088367253000000,15925579530527700,0,14193771,0x0ec67573b87c26f4dfea2c2dc9fd1b7e06f08af8579097de17430100507886db
0x135896DE8421be2ec868E0b811006171D9df802A,0xF436e60725Cf78548559AaF4DA8DeD5F9141d0C1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,110000000,99000,0,14193857,0x01f374997624537566ba12714d10b9547ea6b71d55c5ee54b3f773ef18918dbe
0x135896DE8421be2ec868E0b811006171D9df802A,0x403615B70c893E6247Ae4bC7627A775C1A4dBe85,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,490000000000,441000000,0,14194002,0xd3ed54505afe7742c25ad7951a0e0c91febfddfa2467126291eb8c51ef372a19
